BTB,metal,h2o,hcooh,MOL/stack
0.00123285,0.000697897,0.059210994,0.389007224,2
0.001398777,0.000674049,0.082363729,0.478377927,2
0.001094393,0.000920059,0.094687878,0.416876299,2
0.001374351,0.001705876,0.008998736,0.362360631,2
0.001272004,0.00073075,0.066496541,0.380133507,2
0.00018545,0.000433868,0.253559905,0.645203634,2
0.001099552,0.002403424,0.035837776,0.429979837,2
0.001199,0.000568508,0.095405849,0.420606453,2
0.000416179,0.000414056,0.072722661,0.496199544,2
0.000405549,0.000488162,0.258456147,0.563049532,2
0.000534897,0.000264719,0.292146586,0.560904783,2
0.001011636,0.000419838,0.022675702,0.551478005,2
0.00065088,0.000219597,0.153728323,0.442495935,2
0.001266515,0.000461231,0.023683397,0.442230966,2
0.000340518,0.000605284,0.058677841,0.384377178,2
0.000547079,0.000267894,0.086075252,0.377901343,2
0.000751955,0.000795451,0.038119876,0.476378506,2
0.000650489,0.000551344,0.024548575,0.50173133,2
0.000695084,0.000600732,0.140205147,0.480616816,2
0.000140188,0.000351551,0.615648751,0.132499156,2
0.000500755,0.000498202,0.083292545,0.39802534,2
0.000425717,0.000423546,0.136066543,0.422976213,2
0.000424622,0.000422456,0.053910944,0.506265967,2
0.000176659,0.000690479,0.005833339,0.275820205,2
0.000854551,0.000650014,0.075628872,0.524716197,2
0.00128594,0.000616391,0.100131607,0.493503147,2
0.000614882,0.00081697,0.102005841,0.581871382,2
0.00114194,0.000626047,0.031242219,0.585206755,2
0.001441964,0.000670986,0.045312953,0.5549422,2
0.000194654,0.000231883,0.028663705,0.883238362,2
0.000124592,0.000230301,0.383979894,0.552237321,2
0.000131945,0.000336341,0.196146908,0.638652602,2
0.000152167,0.000401593,0.358435384,0.53343281,2
0.000161583,0.000316264,0.355511821,0.521366474,2
0.000204859,0.000302582,0.047336713,0.86108803,2
0.000125067,0.000315064,0.601614332,0.328035521,2
0.00012598,0.000362993,0.291227881,0.634816282,2
0.001348823,0.001014562,0.097502754,0.511460904,2
0.001311008,0.000754579,0.022072346,0.450089109,2
0.001258214,0.001074822,0.048754809,0.53871817,2
0.000854551,0.000650014,0.075628872,0.524716197,2
0.001391967,0.000856592,0.010998411,0.520042433,2
0.000999573,0.000626145,0.049081544,0.45095033,2
0.001174876,0.000561604,0.069785547,0.370872453,1
0.000787116,0.00055074,0.049457384,0.343013493,1
0.001297366,0.001256339,0.099912309,0.318292345,1
0.000807319,0.001086049,0.077461063,0.314357398,1
0.001407125,0.000847394,0.096097945,0.372913833,1
0.00145649,0.00105773,0.032760969,0.334655042,1
0.000632751,0.000340986,0.047098398,0.367601717,1
0.001376193,0.000759321,0.094759409,0.333526129,1
0.000526697,0.00071046,0.012261193,0.522570763,1
0.000813056,0.000547187,0.103088201,0.404886165,1
0.000958289,0.000532072,0.009270506,0.38060479,1
0.000930893,0.000748112,0.101079979,0.385862172,1
0.000996789,0.001374567,0.097285307,0.434040719,1
0.001199551,0.000627655,0.008895966,0.394971104,1
0.001279536,0.001032338,0.068444288,0.382743715,1
0.001156433,0.001037432,0.060648064,0.426379159,1
0.000997676,0.000511012,0.027772502,0.342438923,1
0.000249144,0.000380174,0.609007496,0.268541252,1
0.000221577,0.000431354,0.504272653,0.30842664,1
0.000122105,0.00017492,0.518342494,0.299219974,1
9.71E-05,0.000232836,0.419358571,0.33591422,1
0.000130065,0.000202946,0.573743001,0.276348901,1
0.000279531,0.000186132,0.442467464,0.325262719,1
0.000202172,0.000512822,0.314029204,0.37335953,1
0.000511582,0.000236056,0.312114409,0.410011668,1
0.000153022,0.000442508,0.465865136,0.311578529,1
0.000743447,0.000391696,0.254474583,0.384531914,1
4.19E-05,0.000120941,0.744938489,0.203832553,1
0.000122813,0.000325376,0.418980577,0.320137365,1
0.0001222,0.000313508,0.687728421,0.21011876,1
0.00020192,0.000538799,0.339005785,0.325680489,1
0.000158084,0.00014147,0.623240838,0.220252741,1
0.000129755,0.000208677,0.543122726,0.24269784,1
0.000156884,0.000331672,0.721091874,0.180719459,1
0.000333824,0.000598795,0.186256275,0.345287807,1
0.000234154,0.000460898,0.459335609,0.260306099,1
0.000185116,0.000484204,0.410503219,0.270367813,1
0.000300762,0.000445641,0.079946195,0.368495122,1
0.000306475,0.000563301,0.340617302,0.284904082,1
0.000658487,0.000386633,0.567441831,0.210805477,1
0.000278153,0.000340104,0.589255009,0.294843324,1
0.00019658,0.000539457,0.400238554,0.253817997,1
0.00019741,0.000232959,0.494087154,0.331876616,1
0.000221326,0.000205422,0.628062649,0.27269673,1
0.000303816,0.000344102,0.31646854,0.39637205,1
0.000606769,0.000500589,0.153265055,0.460922916,1
0.00010117,0.000219117,0.455988586,0.237380369,1
0.00036263,0.000598094,0.312675619,0.236827165,1
0.000153932,0.000432692,0.158555903,0.265151268,1
0.000176381,0.000401222,0.402328498,0.206600751,1
0.000192882,0.000358322,0.729921003,0.131516165,1
0.000110507,0.000231799,0.282015822,0.233396144,1
0.000154374,0.000411156,0.192267074,0.235470152,1
0.000213233,0.00031632,0.163630098,0.23840009,1
0.000127126,0.000224491,0.649370929,0.132531097,1
0.000273783,0.000665579,0.240890301,0.208619567,1
0.000203889,0.000129345,0.676670959,0.172262129,1
0.000165476,0.00043147,0.341577817,0.181289498,1
0.001521496,0.000604808,0.19322979,0.208427265,1
0.000127415,0.000270171,0.52812484,0.145155332,1
0.000294262,0.000567716,0.01468299,0.240706147,1
0.000140428,0.000366778,0.413339336,0.15973754,1
0.000201978,0.000478859,0.543110769,0.135387684,1
0.000192715,0.000158332,0.718936012,0.159105906,1
0.000397238,0.000460521,0.008024359,0.228150277,1
0.000527189,0.000185249,0.540589536,0.130994986,1
0.000175321,0.000433197,0.485222966,0.135647733,1
0.000164634,0.000419655,0.512694493,0.128368387,1
0.000206049,0.000346654,0.325359859,0.158497355,1
0.000118113,0.000329071,0.70443639,0.096691743,1
0.000191884,0.00025419,0.594731592,0.11185823,1
0.000444189,0.000340236,0.097133329,0.188494057,1
0.000247433,0.000683187,0.229049706,0.15421298,1
0.000261973,0.00030522,0.638618859,0.093482722,1
